review_id,k,grade,n_pathologies,pathologies,theta_original,theta_corrected,correction_pct,n_modes,n_outliers,bias_detected,stability,pct_sampling,pct_heterogeneity,pct_model,pct_bias,pct_outlier
CD011793,13,A,0,,-0.1285,-0.1285,0.0,1,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD011866,28,B,1,multimodal,-0.1932,-0.1932,0.0,2,0,False,100.0,15.1,84.8,0.1,0.0,0.0
CD011885,7,A,0,,0.2229,0.2229,0.0,1,0,False,87.5,29.6,69.6,0.8,0.0,0.0
CD012067,38,C,1,10 outliers,0.6381,0.4451,30.2,1,10,False,100.0,3.1,90.0,0.5,3.0,3.3
CD012079,52,D,3,multimodal;1 outliers;pub bias,0.4463,-0.0966,121.6,2,1,True,75.0,2.1,41.3,1.9,53.8,1.0
CD012170,8,D,3,multimodal;2 outliers;pub bias,-2.0445,-3.3602,64.4,2,2,True,75.0,12.9,65.3,3.4,15.9,2.5
CD012178,5,C,2,multimodal;pub bias,-0.0913,-0.0463,49.3,2,0,True,100.0,94.4,0.0,0.0,5.6,0.0
CD012186,105,D,3,multimodal;6 outliers;pub bias,0.2843,0.2816,1.0,2,6,True,100.0,2.2,94.2,0.1,1.9,1.6
CD012268,21,D,2,multimodal;1 outliers,-0.1513,-0.2439,61.2,2,1,False,75.0,16.9,64.7,4.1,0.0,14.3
CD012445,5,A,0,,-0.0912,-0.0912,0.0,1,0,False,100.0,24.3,75.7,0.0,0.0,0.0
CD012503,17,C,2,multimodal;pub bias,-0.1657,-0.1056,36.3,2,0,True,100.0,25.6,7.2,0.1,67.0,0.0
CD012570,10,D,1,pub bias,-0.0077,-0.0025,67.9,1,0,True,100.0,93.8,0.0,0.0,6.2,0.0
CD012586,42,D,3,multimodal;1 outliers;pub bias,-0.0578,-0.086,48.9,2,1,True,100.0,33.8,0.0,0.0,58.1,8.1
CD012623,9,B,1,multimodal,0.0571,0.0571,0.0,2,0,False,75.0,32.3,67.7,0.0,0.0,0.0
CD012635,6,B,1,multimodal,-0.0308,-0.0308,0.0,2,0,False,100.0,39.2,60.6,0.2,0.0,0.0
CD012693,8,A,0,,-0.7774,-0.7801,0.3,1,0,False,100.0,33.0,66.9,0.1,0.0,0.0
CD012712,20,C,2,multimodal;pub bias,-0.819,-0.7439,9.2,2,0,True,100.0,17.1,0.0,0.0,82.9,0.0
CD012718,5,B,1,2 outliers,0.4882,0.4881,0.0,1,2,False,100.0,19.5,80.3,0.2,0.0,0.0
CD012850,5,B,1,multimodal,-0.0373,-0.0373,0.0,2,0,False,100.0,64.9,35.0,0.1,0.0,0.0
CD012891,13,D,3,multimodal;2 outliers;pub bias,-0.597,-0.3195,46.5,2,2,True,100.0,4.9,37.2,2.1,55.8,0.0
CD012905,12,C,2,multimodal;pub bias,-0.3734,-0.3921,5.0,2,0,True,100.0,18.9,79.1,0.3,1.8,0.0
CD012925,6,D,2,1 outliers;pub bias,-0.135,0.048,135.6,1,1,True,75.0,7.7,33.0,3.7,47.7,7.9
CD012942,36,C,1,pub bias,0.0284,0.0216,23.9,1,0,True,100.0,5.6,93.9,0.1,0.4,0.0
CD012993,13,D,1,pub bias,0.1398,-0.1703,221.7,1,0,True,100.0,5.3,21.0,0.4,73.3,0.0
CD013042,13,D,3,multimodal;1 outliers;pub bias,0.0774,0.0227,70.7,2,1,True,100.0,11.4,52.0,2.4,22.8,11.6
CD013051,7,D,3,multimodal;3 outliers;pub bias,0.6274,0.2741,56.3,2,3,True,100.0,5.4,31.3,9.7,52.4,1.2
CD013052,5,B,1,multimodal,0.0185,0.0185,0.0,2,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD013054,8,D,2,multimodal;pub bias,-0.2663,-0.1262,52.6,2,0,True,100.0,2.8,9.3,0.9,87.0,0.0
CD013059,5,D,3,multimodal;pub bias;unstable,1.2367,1.4295,15.6,2,0,True,50.0,66.3,0.0,0.0,33.7,0.0
CD013071,16,B,1,multimodal,-0.2997,-0.2846,5.0,2,0,False,100.0,97.2,0.0,0.0,2.8,0.0
CD013105,5,B,1,multimodal,-0.7443,-0.7443,0.0,2,0,False,100.0,30.2,66.0,3.9,0.0,0.0
CD013197,64,D,2,6 outliers;pub bias,-0.1503,-0.057,62.1,1,6,True,100.0,2.6,95.0,0.2,2.2,0.0
CD013232,121,B,1,multimodal,0.0314,0.0314,0.0,2,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD013255,9,C,2,1 outliers;pub bias,0.8126,0.4472,45.0,1,1,True,100.0,2.5,16.8,1.1,79.0,0.6
CD013278,12,C,2,multimodal;pub bias,0.1834,0.1834,0.0,2,0,True,100.0,100.0,0.0,0.0,0.0,0.0
CD013295,66,C,2,multimodal;1 outliers,-0.3585,-0.3005,16.2,2,1,False,100.0,3.4,87.8,0.7,7.9,0.2
CD013332,10,A,0,,-0.4722,-0.4722,0.0,1,0,False,100.0,19.2,79.3,1.6,0.0,0.0
CD013342,8,D,3,multimodal;pub bias;unstable,0.3506,0.2512,28.3,2,0,True,50.0,17.8,53.3,3.4,25.5,0.0
CD013344,6,A,0,,0.5704,0.5704,0.0,1,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD013353,6,C,1,1 outliers,-2.1839,-2.8858,32.1,1,1,False,100.0,7.8,33.8,0.3,53.7,4.4
CD013358,6,C,2,multimodal;1 outliers,0.368,0.2222,39.6,2,1,False,100.0,15.8,70.0,0.5,0.0,13.6
CD013366,7,B,1,multimodal,-0.1701,-0.1701,0.0,2,0,False,100.0,87.6,12.4,0.0,0.0,0.0
CD013396,16,B,1,multimodal,-0.1489,-0.1378,7.5,2,0,False,100.0,16.4,83.4,0.0,0.2,0.0
CD013408,5,B,1,multimodal,-0.4448,-0.4448,0.0,2,0,False,75.0,36.9,63.0,0.1,0.0,0.0
CD013414,15,B,1,1 outliers,0.6069,0.5159,15.0,1,1,False,100.0,11.3,74.8,0.1,0.0,13.8
CD013421,15,C,2,multimodal;pub bias,-0.7669,-0.6632,13.5,2,0,True,100.0,9.3,67.7,1.3,21.7,0.0
CD013425,21,C,2,multimodal;pub bias,0.6876,0.6164,10.4,2,0,True,100.0,37.9,0.0,0.0,62.1,0.0
CD013445,39,D,3,multimodal;1 outliers;pub bias,0.1118,0.0456,59.3,2,1,True,100.0,1.7,29.0,1.9,67.2,0.2
CD013456,12,B,1,multimodal,0.3555,0.3555,0.0,2,0,False,100.0,33.8,64.9,1.3,0.0,0.0
CD013462,17,D,1,pub bias,0.299,0.1061,64.5,1,0,True,100.0,8.9,74.1,1.5,15.5,0.0
CD013474,6,D,0,,-0.0732,-0.0159,78.3,1,0,False,75.0,20.5,60.4,3.4,15.7,0.0
CD013539,29,D,2,multimodal;pub bias,0.0021,0.0108,421.3,2,0,True,100.0,92.5,0.0,0.0,7.5,0.0
CD013541,8,C,0,,-0.1637,-0.2011,22.8,1,0,False,100.0,89.0,0.0,0.0,11.0,0.0
CD013561,5,A,0,,0.2108,0.2108,0.0,1,0,False,100.0,35.7,64.0,0.3,0.0,0.0
CD013590,5,A,0,,0.4638,0.4638,0.0,1,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD013591,13,D,4,multimodal;1 outliers;pub bias;unstable,5.4592,1.6569,69.6,2,1,True,50.0,6.6,30.7,6.3,25.7,30.7
CD013614,15,C,2,1 outliers;pub bias,1.0759,0.9421,12.4,1,1,True,100.0,5.3,52.6,3.9,37.5,0.7
CD013643,6,A,0,,1.3222,1.3222,0.0,1,0,False,100.0,27.4,72.6,0.0,0.0,0.0
CD013672,7,C,2,multimodal;1 outliers,0.1359,0.0944,30.5,2,1,False,100.0,15.3,64.3,3.7,0.0,16.7
CD013715,7,C,2,multimodal;pub bias,0.5389,0.3448,36.0,2,0,True,100.0,11.8,39.1,2.4,46.7,0.0
CD013726,12,C,2,1 outliers;pub bias,-0.1767,-0.181,2.4,1,1,True,100.0,11.3,79.6,0.2,4.7,4.2
CD013748,8,B,1,unstable,-0.2621,-0.2621,0.0,1,0,False,50.0,100.0,0.0,0.0,0.0,0.0
CD013757,6,B,1,multimodal,-0.7176,-0.6777,5.6,2,0,False,75.0,29.4,68.1,0.1,2.4,0.0
CD013763,21,B,1,pub bias,-0.7568,-0.6486,14.3,1,0,True,100.0,14.7,42.1,0.3,42.9,0.0
CD013773,7,A,0,,-0.1956,-0.1956,0.0,1,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD013781,14,C,2,multimodal;pub bias,-0.4986,-0.3851,22.8,2,0,True,100.0,31.1,19.2,0.1,49.5,0.0
CD013789,38,D,2,multimodal;2 outliers,-0.0884,-0.0394,55.4,2,2,False,100.0,6.8,88.0,0.0,3.0,2.1
CD013800,48,C,2,multimodal;14 outliers,-0.1472,-0.0981,33.4,2,14,False,100.0,2.7,91.9,0.8,3.7,0.9
CD013821,22,C,2,4 outliers;unstable,-0.2212,-0.192,13.2,1,4,False,25.0,5.9,93.4,0.1,0.4,0.2
CD013822,15,D,3,multimodal;5 outliers;pub bias,0.3589,0.0591,83.5,2,5,True,100.0,1.3,12.0,11.1,48.7,26.9
CD013827,14,C,0,,-0.2233,-0.113,49.4,1,0,False,100.0,24.3,47.7,0.1,27.9,0.0
CD013830,7,B,1,multimodal,-0.33,-0.33,0.0,2,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD013834,8,A,0,,0.0319,0.0319,0.0,1,0,False,100.0,17.3,82.7,0.0,0.0,0.0
CD013844,9,A,0,,0.3658,0.3658,0.0,1,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD013875,9,A,0,,0.7962,0.7962,0.0,1,0,False,100.0,32.0,67.9,0.1,0.0,0.0
CD014040,14,D,2,multimodal;3 outliers,0.1242,0.0562,54.8,2,3,False,100.0,5.6,48.0,1.2,42.7,2.5
CD014089,6,B,1,unstable,0.4518,0.4518,0.0,1,0,False,50.0,100.0,0.0,0.0,0.0,0.0
CD014145,6,B,1,multimodal,-0.3455,-0.3455,0.0,2,0,False,100.0,42.6,56.9,0.4,0.0,0.0
CD014300,9,D,1,2 outliers,-0.0843,-0.1274,51.1,1,2,False,87.5,14.5,83.2,0.3,0.0,2.1
CD014428,6,C,2,multimodal;2 outliers,-13.8595,-16.7946,21.2,2,2,False,100.0,11.4,48.6,6.0,32.8,1.2
CD014541,5,A,0,,0.7116,0.7116,0.0,1,0,False,100.0,46.8,53.1,0.0,0.0,0.0
CD014544,12,D,2,multimodal;unstable,-0.0016,0.0224,1483.1,2,0,False,50.0,27.2,70.6,0.1,2.1,0.0
CD014585,12,D,3,multimodal;1 outliers;unstable,-0.0548,-0.1014,84.9,2,1,False,50.0,14.0,67.4,2.4,11.5,4.8
CD014594,7,A,0,,1.2091,1.2091,0.0,1,0,False,100.0,18.2,81.1,0.7,0.0,0.0
CD014624,38,C,2,multimodal;pub bias,0.164,0.0914,44.3,2,0,True,100.0,6.6,9.8,0.0,83.6,0.0
CD014666,6,D,2,multimodal;1 outliers,-0.0429,-0.1068,148.9,2,1,False,100.0,19.8,71.0,0.0,0.0,9.2
CD014678,10,B,1,multimodal,-0.1741,-0.1945,11.7,2,0,False,100.0,32.9,56.7,0.4,10.0,0.0
CD014713,5,B,1,multimodal,-0.0066,-0.0066,0.0,2,0,False,100.0,31.7,68.2,0.1,0.0,0.0
CD014722,6,A,0,,-0.4306,-0.4306,0.0,1,0,False,100.0,43.0,55.5,1.5,0.0,0.0
CD014741,13,C,2,multimodal;pub bias,0.1146,0.061,46.7,2,0,True,87.5,10.0,41.2,1.3,47.4,0.0
CD014758,22,D,3,multimodal;1 outliers;pub bias,0.1776,0.1481,16.6,2,1,True,100.0,6.9,78.9,0.3,12.0,2.0
CD014762,7,B,1,multimodal,0.0794,0.0794,0.0,2,0,False,100.0,29.4,70.0,0.6,0.0,0.0
CD014763,9,C,1,pub bias,-1.8007,-1.3617,24.4,1,0,True,100.0,9.5,0.0,0.0,90.5,0.0
CD014769,27,C,2,multimodal;pub bias,-0.1468,-0.147,0.1,2,0,True,100.0,45.5,54.1,0.3,0.0,0.0
CD014792,11,B,1,pub bias,-0.4023,-0.4697,16.8,1,0,True,100.0,81.4,0.0,0.0,18.6,0.0
CD014803,5,A,0,,-0.0662,-0.0662,0.0,1,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD014820,17,D,2,multimodal;pub bias,-0.0282,0.0046,116.4,2,0,True,100.0,21.3,55.4,0.8,22.5,0.0
CD014833,5,C,2,multimodal;1 outliers,0.225,0.1639,27.2,2,1,False,75.0,21.1,55.4,2.8,0.0,20.8
CD014844,6,C,0,,-0.2497,-0.1529,38.8,1,0,False,100.0,24.6,59.6,0.9,14.8,0.0
CD014845,20,C,2,multimodal;pub bias,-0.0593,-0.0417,29.7,2,0,True,100.0,10.1,20.9,0.2,68.8,0.0
CD014855,7,C,1,pub bias,0.0738,0.1012,37.2,1,0,True,100.0,22.7,76.3,0.4,0.6,0.0
CD014869,8,B,1,multimodal,-0.0137,-0.0137,0.0,2,0,False,100.0,30.4,69.6,0.0,0.0,0.0
